title,company,post_date,date_found,url,platform,location
SMB Account Executive - Talent & Learning,LinkedIn,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/smb-account-executive-talent-learning-at-linkedin-4121271544?position=2&pageNum=0&refId=HsqMoebTl0q06WXixhQ9wg%3D%3D&trackingId=YAK1kByDQhp2FEL3UaeKIA%3D%3D,LinkedIn,"Chicago, IL"
General Application,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/general-application-at-withme-inc-4120605170?position=4&pageNum=0&refId=HsqMoebTl0q06WXixhQ9wg%3D%3D&trackingId=qPVniNN%2F70XYqzn3NVXZyA%3D%3D,LinkedIn,"Chicago, IL"
SVP of Sales,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/svp-of-sales-at-withme-inc-4120602563?position=5&pageNum=0&refId=HsqMoebTl0q06WXixhQ9wg%3D%3D&trackingId=7QhGtBnPaJ7ujMzYnZUp9w%3D%3D,LinkedIn,"Chicago, IL"
Personal Talent Assistant,Hallow,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/personal-talent-assistant-at-hallow-4121274509?position=6&pageNum=0&refId=HsqMoebTl0q06WXixhQ9wg%3D%3D&trackingId=8e7s2fTgI0qT5PbXO3VPfA%3D%3D,LinkedIn,United States
Web Designer,World Headquarters,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/web-designer-at-world-headquarters-4121508779?position=7&pageNum=0&refId=HsqMoebTl0q06WXixhQ9wg%3D%3D&trackingId=xbFxtvdVU7k%2BLjLjTDv%2BIg%3D%3D,LinkedIn,"Chicago, IL"
Graphic Designer,OMI Industries,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/graphic-designer-at-omi-industries-4120959524?position=8&pageNum=0&refId=HsqMoebTl0q06WXixhQ9wg%3D%3D&trackingId=KgVK6sbrwA8OE%2F%2FEiWRqoA%3D%3D,LinkedIn,"Palatine, IL"
"Part-time sitter vacancy for two middle schoolers and a dog near Chicago, IL",Wyndy,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/part-time-sitter-vacancy-for-two-middle-schoolers-and-a-dog-near-chicago-il-at-wyndy-4121128918?position=17&pageNum=0&refId=HsqMoebTl0q06WXixhQ9wg%3D%3D&trackingId=I5xuNdY1Hl5Ol512jDJY2w%3D%3D,LinkedIn,"Chicago, IL"
Business Development Sales Executive - Hospitality,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/business-development-sales-executive-hospitality-at-withme-inc-4120602555?position=18&pageNum=0&refId=HsqMoebTl0q06WXixhQ9wg%3D%3D&trackingId=CSfgduPf0yYmyH8G%2BbOO7g%3D%3D,LinkedIn,"Chicago, IL"
Director of Quality,Pregis,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/director-of-quality-at-pregis-4121290272?position=22&pageNum=0&refId=HsqMoebTl0q06WXixhQ9wg%3D%3D&trackingId=O6BrbhKVP46ZsOONPJPhwA%3D%3D,LinkedIn,Greater Chicago Area
Verification Specialist:  Internationally-Based Remote: (1099 Independent Contractor),KENTECH,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/verification-specialist-internationally-based-remote-1099-independent-contractor-at-kentech-4120665796?position=23&pageNum=0&refId=HsqMoebTl0q06WXixhQ9wg%3D%3D&trackingId=C8AwCz%2Bf4dFMOWO5OJPuuw%3D%3D,LinkedIn,"Chicago, IL"
