title,company,post_date,date_found,url,platform,location
"Part-time sitter vacancy for two middle schoolers and a dog near Chicago, IL",Wyndy,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/part-time-sitter-vacancy-for-two-middle-schoolers-and-a-dog-near-chicago-il-at-wyndy-4121128918?position=2&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=VAvglwCyukMWGxKgz3icxg%3D%3D,LinkedIn,"Chicago, IL"
SMB Account Executive - Talent & Learning,LinkedIn,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/smb-account-executive-talent-learning-at-linkedin-4121271544?position=4&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=%2BOpZL7kOHlumvGdAut%2BdXg%3D%3D,LinkedIn,"Chicago, IL"
Graphic Designer,OMI Industries,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/graphic-designer-at-omi-industries-4120959524?position=5&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=j%2FoJn0tykaOgZe7sr5eBog%3D%3D,LinkedIn,"Palatine, IL"
SVP of Sales,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/svp-of-sales-at-withme-inc-4120602563?position=9&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=Wef7WfQOvPrOSyR8sjlKSw%3D%3D,LinkedIn,"Chicago, IL"
Web Designer,World Headquarters,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/web-designer-at-world-headquarters-4121508779?position=11&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=8NTjYyqgVAeOTGJ86L%2Fsww%3D%3D,LinkedIn,"Chicago, IL"
Guest Experience Specialist,MUSEUM OF ICE CREAM,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/guest-experience-specialist-at-museum-of-ice-cream-4121500794?position=15&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=zcaF2%2FqP0IhsacFc0oXiyA%3D%3D,LinkedIn,"Chicago, IL"
"Sr. Manager, Social Media",Griffin Museum of Science and Industry,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/sr-manager-social-media-at-griffin-museum-of-science-and-industry-4121539800?position=16&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=h1S7TgIHNyPH%2BpkOSYmaGA%3D%3D,LinkedIn,"Chicago, IL"
Online Digital Marketing Specialist,Erika4Travel,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/online-digital-marketing-specialist-at-erika4travel-4121139045?position=21&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=ft6ZTv7rhJbA7HYbr0%2B9mA%3D%3D,LinkedIn,"Illinois, United States"
Crew - All Shifts,The Wendy's Company,2025-01-08,2025-01-10,https://www.linkedin.com/jobs/view/crew-all-shifts-at-the-wendy-s-company-4121501792?position=25&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=D%2F%2BmtWK21kZANFlxMvFtSA%3D%3D,LinkedIn,"Schaumburg, IL"
Verification Specialist:  Internationally-Based Remote: (1099 Independent Contractor),KENTECH,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/verification-specialist-internationally-based-remote-1099-independent-contractor-at-kentech-4120665796?position=31&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=BOeDrkrRpN4c%2BqV2r6iOeg%3D%3D,LinkedIn,"Chicago, IL"
