title,company,post_date,date_found,url,platform,location
Marketing Manager,Lumata Health,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/marketing-manager-at-lumata-health-4121190999?position=37&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=ZxH9x30A92B7lKpVqv%2BO5w%3D%3D,LinkedIn,"Elk Grove Village, IL"
Environmental Field Inspector,We Inspect,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/environmental-field-inspector-at-we-inspect-4120605298?position=38&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=RcuuKiHFrpgUA%2BOg2fclAQ%3D%3D,LinkedIn,"Chicago, IL"
Product Marketing Manager,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/product-marketing-manager-at-withme-inc-4120298967?position=41&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=qZmwL9B2Ad%2F0dmkJCkKE9Q%3D%3D,LinkedIn,"Chicago, IL"
General Application,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/general-application-at-withme-inc-4120605170?position=42&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=YjeV4ooAnlwk3cOp5ijH4w%3D%3D,LinkedIn,"Chicago, IL"
Business Development Sales Executive - Hospitality,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/business-development-sales-executive-hospitality-at-withme-inc-4120602555?position=48&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=i6eAXQOZ31o0VoLpzSanOA%3D%3D,LinkedIn,"Chicago, IL"
Executive Assistant,Sourcebooks,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/executive-assistant-at-sourcebooks-4120604397?position=49&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=ubYZ6a6KbpCLpaf%2BgxqMzQ%3D%3D,LinkedIn,"Naperville, IL"
Part-Time Focus Group Participant $75 - $150 (per 1 hour session),Apex Focus Group,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/part-time-focus-group-participant-%2475-%24150-per-1-hour-session-at-apex-focus-group-4120642854?position=50&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=qkDVLjc1AgSa08lRgdeJaA%3D%3D,LinkedIn,"Chicago, IL"
Product Manager,"Ulbrich Stainless Steels & Special Metals, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/product-manager-at-ulbrich-stainless-steels-special-metals-inc-4121282013?position=58&pageNum=0&refId=p3DF7vCriUaIA2Sf2oaJaA%3D%3D&trackingId=dXkUnJ4mf6FVYgTQBFg5iA%3D%3D,LinkedIn,"Alsip, IL"
SMB Account Executive - Talent & Learning,LinkedIn,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/smb-account-executive-talent-learning-at-linkedin-4121271544?position=2&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=5qAb7Z8g6Y40SFc1BLd2Ng%3D%3D,LinkedIn,"Chicago, IL"
Personal Talent Assistant,Hallow,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/personal-talent-assistant-at-hallow-4121274509?position=4&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=dxAxhcymPIq9KpYdyHw5FA%3D%3D,LinkedIn,United States
"Part-time sitter vacancy for two middle schoolers and a dog near Chicago, IL",Wyndy,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/part-time-sitter-vacancy-for-two-middle-schoolers-and-a-dog-near-chicago-il-at-wyndy-4121128918?position=5&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=0dD%2BDiOCL04%2FbJecn6pPfw%3D%3D,LinkedIn,"Chicago, IL"
General Application,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/general-application-at-withme-inc-4120605170?position=6&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=qt3%2FehBWAPQDQ1FNFo8K7g%3D%3D,LinkedIn,"Chicago, IL"
Web Designer,World Headquarters,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/web-designer-at-world-headquarters-4121508779?position=7&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=OaH7n3DPwqV5i6sg6gqZhA%3D%3D,LinkedIn,"Chicago, IL"
Graphic Designer,OMI Industries,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/graphic-designer-at-omi-industries-4120959524?position=8&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=JeSoti1tuAoAzGC46%2BfNFw%3D%3D,LinkedIn,"Palatine, IL"
SVP of Sales,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/svp-of-sales-at-withme-inc-4120602563?position=16&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=qRfYcHbRPDdf%2B7FjKyFDAw%3D%3D,LinkedIn,"Chicago, IL"
Business Development Sales Executive - Hospitality,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/business-development-sales-executive-hospitality-at-withme-inc-4120602555?position=18&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=Mxh8F4CJ9bjSkvvNpPWn4Q%3D%3D,LinkedIn,"Chicago, IL"
Director of Quality,Pregis,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/director-of-quality-at-pregis-4121290272?position=20&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=BwNqcsZHyivn87Ny1L1pUA%3D%3D,LinkedIn,Greater Chicago Area
"Sr. Manager, Social Media",Griffin Museum of Science and Industry,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/sr-manager-social-media-at-griffin-museum-of-science-and-industry-4121539800?position=21&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=WLGPrkP2pVyI%2F5zUEcrngQ%3D%3D,LinkedIn,"Chicago, IL"
Verification Specialist:  Internationally-Based Remote: (1099 Independent Contractor),KENTECH,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/verification-specialist-internationally-based-remote-1099-independent-contractor-at-kentech-4120665796?position=22&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=YAJYIULWHdEccIj%2BbO9BiA%3D%3D,LinkedIn,"Chicago, IL"
Product Marketing Manager,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/product-marketing-manager-at-withme-inc-4120298967?position=23&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=5Zs9X%2B4sbdrHl1Kp6cwjmQ%3D%3D,LinkedIn,"Chicago, IL"
Executive Assistant,Sourcebooks,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/executive-assistant-at-sourcebooks-4120604397?position=25&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=dJS0dhLpKr%2FII846SBM1Cw%3D%3D,LinkedIn,"Naperville, IL"
Guest Experience Specialist,MUSEUM OF ICE CREAM,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/guest-experience-specialist-at-museum-of-ice-cream-4121500794?position=27&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=zo%2FtVZWW9539CzmFddslBw%3D%3D,LinkedIn,"Chicago, IL"
Online Digital Marketing Specialist,Erika4Travel,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/online-digital-marketing-specialist-at-erika4travel-4121139045?position=32&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=%2BYWVcRHyWc8hn9deh8VFBw%3D%3D,LinkedIn,"Illinois, United States"
Client Experience Specialist,Travel by Tilly,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/client-experience-specialist-at-travel-by-tilly-4121137820?position=40&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=hqbMxnABJ6%2Bueo9BzhEmGQ%3D%3D,LinkedIn,"Chicago, IL"
Product Manager,"Ulbrich Stainless Steels & Special Metals, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/product-manager-at-ulbrich-stainless-steels-special-metals-inc-4121282013?position=41&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=UEv9nSH85Tw%2BuNSh5c2EAQ%3D%3D,LinkedIn,"Alsip, IL"
"Program Director, Primary Care Operations",Northwestern Medicine,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/program-director-primary-care-operations-at-northwestern-medicine-4120670107?position=42&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=YhfVYM%2FLs0MyikVu4QgXuQ%3D%3D,LinkedIn,"Chicago, IL"
Environmental Field Inspector,We Inspect,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/environmental-field-inspector-at-we-inspect-4120605298?position=43&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=tdSn7I2O%2Bm%2FM83wuMYqJ5w%3D%3D,LinkedIn,"Chicago, IL"
"Practice Director, Workplace Wellness",NAMI Chicago,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/practice-director-workplace-wellness-at-nami-chicago-4120610110?position=44&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=Xmm8G2VBtvNuu550EmytRA%3D%3D,LinkedIn,"Chicago, IL"
Accountant - Full Time Remote,SA Nurses Home Health,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/accountant-full-time-remote-at-sa-nurses-home-health-4121151686?position=47&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=pQC1Ti0mne%2FrITfpfF4REg%3D%3D,LinkedIn,"Chicago, IL"
Consumer Insights Analyst - Food and Drink,Mintel,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/consumer-insights-analyst-food-and-drink-at-mintel-4121257722?position=58&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=botAZJrCWJh7arht9egJQg%3D%3D,LinkedIn,"Chicago, IL"
Verification Specialist: Internationally-Based Remote: (1099 Independent Contractor),KENTECH,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/verification-specialist-internationally-based-remote-1099-independent-contractor-at-kentech-4121224921?position=59&pageNum=0&refId=qpQD7r4LLHeZqbPr3Nr%2BUA%3D%3D&trackingId=ysbaCgOfl8uj8oKX7UmbIQ%3D%3D,LinkedIn,"Chicago, IL"
SMB Account Executive - Talent & Learning,LinkedIn,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/smb-account-executive-talent-learning-at-linkedin-4121271544?position=2&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=NyIHhtkdq0DAMFXa%2Fk0e5A%3D%3D,LinkedIn,"Chicago, IL"
General Application,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/general-application-at-withme-inc-4120605170?position=4&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=uZBDr68QW6YGGkQahl2vJg%3D%3D,LinkedIn,"Chicago, IL"
SVP of Sales,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/svp-of-sales-at-withme-inc-4120602563?position=5&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=Fp2m1%2F7MfB3OnxBbfwcZlA%3D%3D,LinkedIn,"Chicago, IL"
Personal Talent Assistant,Hallow,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/personal-talent-assistant-at-hallow-4121274509?position=6&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=6POfwfXwJHj4Q9isON8kcw%3D%3D,LinkedIn,United States
Web Designer,World Headquarters,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/web-designer-at-world-headquarters-4121508779?position=7&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=o22ir9%2B%2FoyUjMD0wyGiehQ%3D%3D,LinkedIn,"Chicago, IL"
Graphic Designer,OMI Industries,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/graphic-designer-at-omi-industries-4120959524?position=8&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=1dogNyhOGq%2FX9CtxiDD3PQ%3D%3D,LinkedIn,"Palatine, IL"
"Part-time sitter vacancy for two middle schoolers and a dog near Chicago, IL",Wyndy,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/part-time-sitter-vacancy-for-two-middle-schoolers-and-a-dog-near-chicago-il-at-wyndy-4121128918?position=17&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=VGi8tZWN%2FSUMCuKnx4tAaQ%3D%3D,LinkedIn,"Chicago, IL"
Business Development Sales Executive - Hospitality,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/business-development-sales-executive-hospitality-at-withme-inc-4120602555?position=18&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=pBekCngKNKOrg29sVFghfQ%3D%3D,LinkedIn,"Chicago, IL"
Director of Quality,Pregis,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/director-of-quality-at-pregis-4121290272?position=20&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=J%2BQ0vPXggpzfXBNFV19K8g%3D%3D,LinkedIn,Greater Chicago Area
"Sr. Manager, Social Media",Griffin Museum of Science and Industry,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/sr-manager-social-media-at-griffin-museum-of-science-and-industry-4121539800?position=21&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=vZVYbNR%2Bk11Yp8RjuzP4kQ%3D%3D,LinkedIn,"Chicago, IL"
Verification Specialist:  Internationally-Based Remote: (1099 Independent Contractor),KENTECH,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/verification-specialist-internationally-based-remote-1099-independent-contractor-at-kentech-4120665796?position=22&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=eFtB7T1ZXGUOcCiOsYQqsQ%3D%3D,LinkedIn,"Chicago, IL"
Product Marketing Manager,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/product-marketing-manager-at-withme-inc-4120298967?position=23&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=CO%2FNr%2FQn3JEam6nwvXu9xA%3D%3D,LinkedIn,"Chicago, IL"
Executive Assistant,Sourcebooks,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/executive-assistant-at-sourcebooks-4120604397?position=25&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=vZoYLmMX9Or7bUWW0UQlYQ%3D%3D,LinkedIn,"Naperville, IL"
Guest Experience Specialist,MUSEUM OF ICE CREAM,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/guest-experience-specialist-at-museum-of-ice-cream-4121500794?position=27&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=605F0fnVvBUnLd4a6nhDLg%3D%3D,LinkedIn,"Chicago, IL"
Online Digital Marketing Specialist,Erika4Travel,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/online-digital-marketing-specialist-at-erika4travel-4121139045?position=31&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=MTHgwnGWjbHbiK6xMg%2FQrQ%3D%3D,LinkedIn,"Illinois, United States"
Product Manager,"Ulbrich Stainless Steels & Special Metals, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/product-manager-at-ulbrich-stainless-steels-special-metals-inc-4121282013?position=39&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=M82syAZw5Cgr9lzMbuP2FA%3D%3D,LinkedIn,"Alsip, IL"
Environmental Field Inspector,We Inspect,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/environmental-field-inspector-at-we-inspect-4120605298?position=40&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=0E2I0eoKc7WlwNvhAioVnQ%3D%3D,LinkedIn,"Chicago, IL"
"Program Director, Primary Care Operations",Northwestern Medicine,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/program-director-primary-care-operations-at-northwestern-medicine-4120670107?position=41&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=kPjPHO4ae4IkXm%2FM6MNo9g%3D%3D,LinkedIn,"Chicago, IL"
"Practice Director, Workplace Wellness",NAMI Chicago,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/practice-director-workplace-wellness-at-nami-chicago-4120610110?position=42&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=NDFUXlr%2FmpME5l2AZWBrIw%3D%3D,LinkedIn,"Chicago, IL"
Accountant - Full Time Remote,SA Nurses Home Health,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/accountant-full-time-remote-at-sa-nurses-home-health-4121151686?position=45&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=6p%2FDPpcpMipYRMaFZ3DhOQ%3D%3D,LinkedIn,"Chicago, IL"
Client Experience Specialist,Travel by Tilly,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/client-experience-specialist-at-travel-by-tilly-4121137820?position=49&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=h7Mw2I7VhUeLnOWRZpk5JA%3D%3D,LinkedIn,"Chicago, IL"
Consumer Insights Analyst - Food and Drink,Mintel,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/consumer-insights-analyst-food-and-drink-at-mintel-4121257722?position=57&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=znhYqSctZsT%2BN3H%2BsLf26A%3D%3D,LinkedIn,"Chicago, IL"
Verification Specialist: Internationally-Based Remote: (1099 Independent Contractor),KENTECH,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/verification-specialist-internationally-based-remote-1099-independent-contractor-at-kentech-4121224921?position=59&pageNum=0&refId=KY7yVa1Dvp2uPxKK16mHrw%3D%3D&trackingId=mMsLXh7xtkFCdSpXaEFQ%2Bg%3D%3D,LinkedIn,"Chicago, IL"
SMB Account Executive - Talent & Learning,LinkedIn,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/smb-account-executive-talent-learning-at-linkedin-4121271544?position=2&pageNum=0&refId=XbM8Cz8pOagnSlv%2Ff2oaFA%3D%3D&trackingId=emTYLu3DLbegKnMTSuIS1A%3D%3D,LinkedIn,"Chicago, IL"
******* ***********,"******, ***.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/general-application-at-withme-inc-4120605170?position=4&pageNum=0&refId=XbM8Cz8pOagnSlv%2Ff2oaFA%3D%3D&trackingId=BfoJ8kLwWtavzr7KCb18cw%3D%3D,LinkedIn,"*******, **"
*** ** *****,"******, ***.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/svp-of-sales-at-withme-inc-4120602563?position=5&pageNum=0&refId=XbM8Cz8pOagnSlv%2Ff2oaFA%3D%3D&trackingId=U1zjQ96fkHtjpaxo6Mj62g%3D%3D,LinkedIn,"*******, **"
******** ****** *********,******,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/personal-talent-assistant-at-hallow-4121274509?position=6&pageNum=0&refId=XbM8Cz8pOagnSlv%2Ff2oaFA%3D%3D&trackingId=dX47sM7TW%2Fn%2FDngNBKF6OQ%3D%3D,LinkedIn,****** ******
*** ********,***** ************,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/web-designer-at-world-headquarters-4121508779?position=7&pageNum=0&refId=XbM8Cz8pOagnSlv%2Ff2oaFA%3D%3D&trackingId=IN5hcOqpsIAGEE7hVLpvDA%3D%3D,LinkedIn,"*******, **"
"Part-time sitter vacancy for two middle schoolers and a dog near Chicago, IL",Wyndy,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/part-time-sitter-vacancy-for-two-middle-schoolers-and-a-dog-near-chicago-il-at-wyndy-4121128918?position=2&pageNum=0&refId=INX8PbW5uGqcJxaXC2QYQw%3D%3D&trackingId=iQ4ckkShLT0TgfrTQpp9rg%3D%3D,LinkedIn,"Chicago, IL"
*** ******* ********* - ****** & ********,********,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/smb-account-executive-talent-learning-at-linkedin-4121271544?position=4&pageNum=0&refId=INX8PbW5uGqcJxaXC2QYQw%3D%3D&trackingId=TOxw5fdkQZtNdIAMEd%2BPpg%3D%3D,LinkedIn,"*******, **"
******* ********,*** **********,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/graphic-designer-at-omi-industries-4120959524?position=5&pageNum=0&refId=INX8PbW5uGqcJxaXC2QYQw%3D%3D&trackingId=pTzlhZMTfmAjX6hm%2BzhKJQ%3D%3D,LinkedIn,"********, **"
